,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4469019467484747,5.419594468118248
EUVP_eval_data,,,1.5714077866193161,5.96081439546011
EUVP_test_samples,19.146360350649406,0.7812314303891588,1.4847413061891945,5.792246592623516
EUVP_underwater_dark,17.98174713950706,0.8202520232167512,1.691091083202276,3.600148223928503
EUVP_underwater_imagenet,18.74292260560293,0.7436419845065096,1.5727358161597638,5.972450305448996
EUVP_underwater_scenes,19.665021469660136,0.7932389872615777,1.49735853661116,6.051018024091044
UIEB_challenging_60,,,1.240973130861918,4.671992349624634
UIEB_raw_890,22.08289964058655,0.8672555510843515,1.33776668903539,5.045160217670047
overall,18.81851545458792,0.7952720316050694,1.56180575601124,5.051841728633167
