dataset,image_name,attention_blue,attention_green,attention_lowlight
UIEB_raw_890,100_img_-checkpoint.png,0.4502229690551758,0.3596336841583252,0.19014333188533783
UIEB_raw_890,10_img_-checkpoint.png,0.5526077151298523,0.2658557891845703,0.1815364956855774
UIEB_raw_890,100_img_.png,0.4502229690551758,0.3596336841583252,0.19014333188533783
UIEB_raw_890,10139.png,0.4279927909374237,0.3601646423339844,0.21184256672859192
UIEB_raw_890,10151.png,0.25324225425720215,0.39903298020362854,0.3477247357368469
UIEB_raw_890,101_img_.png,0.21725811064243317,0.5445429086685181,0.23819895088672638
UIEB_raw_890,102_img_.png,0.30421197414398193,0.404990017414093,0.29079800844192505
UIEB_raw_890,104_img_.png,0.49253588914871216,0.3179580569267273,0.18950608372688293
UIEB_raw_890,105_img_.png,0.2783459424972534,0.43225476145744324,0.28939926624298096
UIEB_raw_890,106_img_.png,0.20126938819885254,0.3306564688682556,0.46807414293289185
UIEB_raw_890,107_img_.png,0.5052889585494995,0.30678409337997437,0.18792690336704254
UIEB_raw_890,108_img_.png,0.4485895037651062,0.40522265434265137,0.14618784189224243
UIEB_raw_890,10909.png,0.18389198184013367,0.41623085737228394,0.3998771607875824
UIEB_raw_890,10945.png,0.2956257462501526,0.3245125114917755,0.3798617720603943
UIEB_raw_890,109_img_.png,0.43385303020477295,0.33276796340942383,0.2333790361881256
UIEB_raw_890,10_img_.png,0.5526077151298523,0.2658557891845703,0.1815364956855774
UIEB_raw_890,11052.png,0.14119598269462585,0.4787336587905884,0.3800703287124634
UIEB_raw_890,11064.png,0.20613355934619904,0.4206702709197998,0.37319615483283997
UIEB_raw_890,111_img_.png,0.5354548692703247,0.23395338654518127,0.23059174418449402
UIEB_raw_890,112_img_.png,0.3045928478240967,0.4658699929714203,0.22953715920448303
UIEB_raw_890,11374.png,0.3163043260574341,0.39694225788116455,0.28675341606140137
UIEB_raw_890,11398.png,0.3165872097015381,0.40643638372421265,0.27697640657424927
UIEB_raw_890,113_img_.png,0.35336124897003174,0.4159631133079529,0.23067565262317657
UIEB_raw_890,114_img_.png,0.39667898416519165,0.38186079263687134,0.221460223197937
UIEB_raw_890,115_img_.png,0.5891732573509216,0.22238236665725708,0.18844440579414368
UIEB_raw_890,116_img_.png,0.37739038467407227,0.3948338031768799,0.22777581214904785
UIEB_raw_890,117_img_.png,0.15601156651973724,0.5059089064598083,0.338079571723938
UIEB_raw_890,118_img_.png,0.2126539945602417,0.4552198648452759,0.3321261405944824
UIEB_raw_890,11_img_.png,0.32132041454315186,0.3841164708137512,0.2945631146430969
UIEB_raw_890,120_img_.png,0.25632983446121216,0.42029881477355957,0.32337135076522827
