epoch,step,loss_g,loss_d,loss_cycle,loss_identity,loss_ssim,attention_blue,attention_green,attention_lowlight,attention_blur
1,1,9.782402992248535,1.1425153017044067,0.4813868999481201,0.2542835474014282,1.6856269836425781,0.30197450518608093,0.3032430410385132,0.22813990712165833,0.16664257645606995
1,2,11.739712715148926,6.549754619598389,0.5238115191459656,0.23364876210689545,1.5301411151885986,0.2996772527694702,0.3108336329460144,0.22085097432136536,0.16863815486431122
1,3,8.198443412780762,3.0077452659606934,0.435096800327301,0.21549805998802185,1.5618503093719482,0.30361780524253845,0.2985711991786957,0.22519105672836304,0.17261993885040283
1,4,7.955678462982178,1.3305931091308594,0.4005770981311798,0.24711644649505615,1.6519252061843872,0.3031642436981201,0.30298757553100586,0.21815088391304016,0.17569729685783386
1,5,7.722265720367432,1.0241731405258179,0.3843478560447693,0.2583840489387512,1.5481443405151367,0.30476075410842896,0.30146950483322144,0.21861031651496887,0.17515945434570312
1,6,7.34510612487793,0.7250920534133911,0.3645859956741333,0.22801050543785095,1.5109463930130005,0.30629581212997437,0.2974586486816406,0.21865664422512054,0.17758890986442566
1,7,6.450051307678223,0.5325305461883545,0.3227789103984833,0.18703565001487732,1.3499575853347778,0.307136595249176,0.2964194416999817,0.22058364748954773,0.17586028575897217
1,8,6.350640296936035,0.5403404235839844,0.2935551404953003,0.2017393559217453,1.4667160511016846,0.3071334958076477,0.2909914553165436,0.22273792326450348,0.17913715541362762
1,9,7.2380547523498535,0.4348416030406952,0.395948588848114,0.21117731928825378,1.438988208770752,0.303739070892334,0.29798999428749084,0.219603031873703,0.17866793274879456
1,10,6.804040908813477,0.5012528896331787,0.34242677688598633,0.23319821059703827,1.3779430389404297,0.29913949966430664,0.30809617042541504,0.21361994743347168,0.17914439737796783
1,11,7.01039981842041,0.480911523103714,0.3674338757991791,0.20461730659008026,1.4872972965240479,0.2973320186138153,0.30602777004241943,0.21622510254383087,0.1804150938987732
1,12,6.2851481437683105,0.4642556607723236,0.3141876459121704,0.18343190848827362,1.482492446899414,0.29409462213516235,0.30697542428970337,0.21659180521965027,0.1823381781578064
1,13,6.91695499420166,0.4597036838531494,0.3861943781375885,0.2006748914718628,1.2610175609588623,0.29461127519607544,0.3030123710632324,0.22176237404346466,0.18061399459838867
1,14,7.14574670791626,0.5118246078491211,0.417545884847641,0.16880664229393005,1.3373031616210938,0.28889089822769165,0.3145711421966553,0.21499575674533844,0.18154221773147583
1,15,6.048813343048096,0.4958856701850891,0.33215439319610596,0.14107811450958252,1.2150344848632812,0.28716468811035156,0.31696876883506775,0.21255949139595032,0.18330706655979156
1,16,5.977358818054199,0.5048350691795349,0.30772826075553894,0.18058037757873535,1.153846025466919,0.2859281003475189,0.31344884634017944,0.21660390496253967,0.18401914834976196
1,17,6.0207839012146,0.5259149074554443,0.3302661180496216,0.16610124707221985,1.1473311185836792,0.2845377027988434,0.3108460605144501,0.21879057586193085,0.1858256459236145
1,18,4.994976997375488,0.5185549259185791,0.24605074524879456,0.14264491200447083,1.0304720401763916,0.28287315368652344,0.3152764141559601,0.215584397315979,0.1862660050392151
1,19,4.985747337341309,0.45784592628479004,0.2545253336429596,0.1060231551527977,1.1221849918365479,0.2822350263595581,0.3122434616088867,0.21714437007904053,0.18837717175483704
1,20,5.843320846557617,0.5815202593803406,0.32167452573776245,0.1432482898235321,1.1401864290237427,0.2772170305252075,0.3247494697570801,0.21057632565498352,0.1874571442604065
1,21,4.310314655303955,0.5431103110313416,0.20519575476646423,0.1111270934343338,0.9763432145118713,0.2785555124282837,0.31571459770202637,0.21736134588718414,0.18836858868598938
1,22,4.460309028625488,0.536312460899353,0.23594973981380463,0.10564249753952026,0.957804799079895,0.27835938334465027,0.3165838122367859,0.2153724879026413,0.18968433141708374
1,23,5.797249794006348,0.5106160640716553,0.33923274278640747,0.13042794167995453,1.0578258037567139,0.27800899744033813,0.3139912486076355,0.2182750701904297,0.1897246241569519
1,24,4.1264967918396,0.5562773942947388,0.2085198163986206,0.10878323018550873,0.783373236656189,0.2750113606452942,0.3174547553062439,0.2154179960489273,0.1921158879995346
1,25,5.943026542663574,0.6166764497756958,0.33039671182632446,0.14112882316112518,1.1189441680908203,0.2716863453388214,0.3201499581336975,0.21524173021316528,0.1929219663143158
1,26,4.961569786071777,0.7876741290092468,0.2589837610721588,0.09725728631019592,0.8889446258544922,0.2694393992424011,0.31468862295150757,0.21931299567222595,0.19655898213386536
1,27,5.5819597244262695,0.7005984783172607,0.30199217796325684,0.16006557643413544,0.9795790314674377,0.264809787273407,0.32357555627822876,0.21594442427158356,0.19567027688026428
1,28,4.831331729888916,0.7473129034042358,0.24418297410011292,0.11890332400798798,0.8815422654151917,0.2646477222442627,0.3239802122116089,0.21440944075584412,0.1969626247882843
