,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4890539613789218,5.654190673731419
EUVP_eval_data,,,1.5436921720944563,5.673588721729019
EUVP_test_samples,18.838548825931372,0.7567874463420196,1.513122073192041,5.760827478390295
EUVP_underwater_dark,17.152937377160907,0.7959419943730103,1.6675274839916745,4.120514459567027
EUVP_underwater_imagenet,17.932430566836718,0.7220083430485625,1.640097719495361,5.7824089820964915
EUVP_underwater_scenes,19.46989922566071,0.7702151623143122,1.5355071060171934,6.24270229328688
UIEB_challenging_60,,,1.2412221382061641,4.668741208314896
UIEB_raw_890,20.802492780476495,0.8363427373852238,1.375405333568697,5.398225644110564
overall,18.09241406297401,0.7714890684459228,1.5826128121573484,5.247809907585485
