,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4643461425572215,5.279899820076322
EUVP_eval_data,,,1.5954923987388612,5.691857524519985
EUVP_test_samples,18.930323055997647,0.7783287718826299,1.5039566659232946,5.586053286941306
EUVP_underwater_dark,17.929831664802276,0.8149599942218655,1.7007806038212132,3.602500522072251
EUVP_underwater_imagenet,18.687663077235523,0.7434117171864262,1.590785870471516,5.704499509270127
EUVP_underwater_scenes,19.416589213699243,0.7882406822811071,1.522123208280559,5.889558317350304
UIEB_challenging_60,,,1.241929327448209,4.50092187722524
UIEB_raw_890,21.864868063269206,0.8599286669838837,1.3569250004794595,4.9820967313282685
overall,18.714097780958355,0.7914433834455266,1.5782994548124927,4.921791790489778
