,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.255179249905573,4.993937692850503
EUVP_eval_data,,,1.4132211912025525,5.633529272704449
EUVP_test_samples,20.529811929319052,0.7825659296627836,1.3048388043653618,5.266868080676181
EUVP_underwater_dark,16.556524446924772,0.8065347603758019,1.5482790054931297,3.9065859711921966
EUVP_underwater_imagenet,17.648026771341303,0.7109788207101628,1.4074049162945232,5.888180380898553
EUVP_underwater_scenes,21.428535704516104,0.8052646453732124,1.3163719214754737,5.409909935728636
UIEB_challenging_60,,,0.96475770175457,4.2765213270982105
UIEB_raw_890,18.822481780093018,0.8030090055377231,1.1139824956320645,4.629061234131288
overall,18.0165593595518,0.7775772800279345,1.3934291514182946,4.913070969070955
