,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4758445223947396,5.419494301368963
EUVP_eval_data,,,1.5660119818252267,5.793625327105661
EUVP_test_samples,18.80115148446161,0.777778534023795,1.4979880256560243,5.691816568374634
EUVP_underwater_dark,18.09722453860307,0.8258067490556582,1.7093780341717575,3.539363979498545
EUVP_underwater_imagenet,18.402594706166163,0.74068217342025,1.5806758823588087,5.667395867850329
EUVP_underwater_scenes,19.3337033989235,0.7900255195349846,1.5156544255719304,6.0258103471053275
UIEB_challenging_60,,,1.29293133020401,4.792223898569743
UIEB_raw_890,21.679207641493207,0.8643485003785929,1.3888791654380217,5.1886152775600705
overall,18.672151584434292,0.7959332842256208,1.5801154796475845,4.957867583299941
