,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4343025343187514,5.692757800291184
EUVP_eval_data,,,1.5261292793797059,5.686370518138108
EUVP_test_samples,18.174248931450453,0.7518329718570391,1.4849989904940708,5.967020294041309
EUVP_underwater_dark,16.398871068607892,0.7880146716231776,1.6011111275569814,4.437325891417426
EUVP_underwater_imagenet,16.761782065491406,0.7006889383977598,1.5597938061404872,5.697228387433129
EUVP_underwater_scenes,18.87720309844609,0.7721880523289245,1.5029962260881333,6.272132650611057
UIEB_challenging_60,,,1.2321698466936748,4.90794673760732
UIEB_raw_890,19.806493843302214,0.8168359388561361,1.2941164238064478,5.310684343804135
overall,17.232596149800052,0.7607040000005749,1.523243166793704,5.346236666340435
