,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4671148356242039,5.341685317682216
EUVP_eval_data,,,1.5837409022363644,5.920560868966927
EUVP_test_samples,18.760544193117102,0.774380976369608,1.5063020546459458,5.680233801452859
EUVP_underwater_dark,17.864277901459154,0.815964517569442,1.7006354827494234,3.480967274120262
EUVP_underwater_imagenet,18.748228567506594,0.745772573163812,1.5764140590944806,5.754771832453238
EUVP_underwater_scenes,19.249010638495538,0.783527591467715,1.5176209944745769,5.976620559234095
UIEB_challenging_60,,,1.2612465073664982,4.559033354123433
UIEB_raw_890,22.085296443092084,0.8630004256094489,1.3644526820257725,5.022471777383995
overall,18.683167475996317,0.7918104331928522,1.5749162398800463,4.93482166049388
