test_category,branch,PSNR_mean,SSIM_mean,UIQM_mean,UCIQE_mean,num_images
blue_cast,blue,21.353364378035057,0.8621078542837229,1.3249161201130621,5.760104940928099,479
blue_cast,blur,22.57711175623725,0.8888453313156759,1.347446258730082,5.376727382424978,479
blue_cast,green,21.14495272349439,0.8694163216934749,1.3735470398482799,5.321596248662546,479
blue_cast,lowlight,16.45101334319161,0.7496696365535548,0.8430583679850265,3.632980657022034,479
blur,blue,20.07688363619373,0.8410988619243509,1.1141930847431962,4.715045650112588,289
blur,blur,22.374042660925703,0.8860085736907684,1.210213840420271,4.486494242113767,289
blur,green,20.742405908926767,0.866985992812949,1.198378462486201,4.613473764752847,289
blur,lowlight,16.047382503523167,0.7221841604745816,0.6922080737496742,3.1986623734338884,289
green_cast,blue,20.6683198860297,0.8706687151412653,1.3382058563399408,4.576930078550999,257
green_cast,blur,22.572361150398706,0.8971070324089571,1.3446534104384338,4.02648077307972,257
green_cast,green,22.454177474263844,0.8990334380578866,1.4098082848096172,4.463824428009152,257
green_cast,lowlight,16.790577578722136,0.7338620424142067,0.8308473428863495,3.1743189838609807,257
low_light,blue,18.613130903682762,0.8107042524123617,1.241090910188083,4.238712088815097,29
low_light,blur,19.573630824565626,0.8417905587985368,1.4377891195231471,4.659354958040961,29
low_light,green,20.062873306770797,0.8487805806994404,1.4912868614854484,4.905726975408093,29
low_light,lowlight,18.910006839532272,0.8168506264207671,1.1846301370653614,3.6914763039556044,29
