dataset,image_name,attention_blue,attention_green,attention_lowlight,attention_blur
UIEB_raw_890,100_img_.png,0.32516950368881226,0.24679605662822723,0.12753787636756897,0.30049657821655273
UIEB_raw_890,10139.png,0.2700655460357666,0.1801648586988449,0.07735511660575867,0.47241443395614624
UIEB_raw_890,10151.png,0.12253840267658234,0.16064944863319397,0.094463050365448,0.6223490834236145
UIEB_raw_890,101_img_.png,0.08967186510562897,0.22975845634937286,0.15458977222442627,0.5259798765182495
UIEB_raw_890,102_img_.png,0.21441666781902313,0.2551293969154358,0.15554721653461456,0.3749067187309265
UIEB_raw_890,104_img_.png,0.23320911824703217,0.1754036545753479,0.10909669101238251,0.4822905659675598
UIEB_raw_890,105_img_.png,0.1796126365661621,0.22705066204071045,0.15602120757102966,0.43731552362442017
UIEB_raw_890,106_img_.png,0.14076194167137146,0.13508763909339905,0.07381340861320496,0.6503369808197021
UIEB_raw_890,107_img_.png,0.3734559118747711,0.19833622872829437,0.10204972326755524,0.3261581361293793
UIEB_raw_890,108_img_.png,0.17688381671905518,0.2146238088607788,0.0769900530576706,0.531502366065979
UIEB_raw_890,10909.png,0.13808660209178925,0.18255725502967834,0.07395102083683014,0.6054050922393799
UIEB_raw_890,10945.png,0.17084626853466034,0.16801348328590393,0.08333474397659302,0.5778055191040039
UIEB_raw_890,109_img_.png,0.3549489974975586,0.22660383582115173,0.09869535267353058,0.3197518289089203
UIEB_raw_890,10_img_.png,0.34929752349853516,0.21250461041927338,0.13593991100788116,0.3022579848766327
UIEB_raw_890,11052.png,0.07540657371282578,0.17049112915992737,0.08939733356237411,0.6647049188613892
UIEB_raw_890,11064.png,0.08474956452846527,0.13791614770889282,0.06817007064819336,0.7091641426086426
UIEB_raw_890,111_img_.png,0.350136935710907,0.2221798300743103,0.1522531509399414,0.2754300832748413
UIEB_raw_890,112_img_.png,0.15410101413726807,0.24789632856845856,0.14633998274803162,0.45166265964508057
UIEB_raw_890,11374.png,0.22043035924434662,0.2009928971529007,0.09980930387973785,0.478767454624176
UIEB_raw_890,11398.png,0.14613279700279236,0.18095627427101135,0.1056118756532669,0.5672990083694458
UIEB_raw_890,113_img_.png,0.20026379823684692,0.2309267669916153,0.13672921061515808,0.4320802092552185
UIEB_raw_890,114_img_.png,0.15584206581115723,0.1689082682132721,0.10038136690855026,0.5748683214187622
UIEB_raw_890,115_img_.png,0.37626704573631287,0.17284530401229858,0.10473369061946869,0.34615397453308105
UIEB_raw_890,116_img_.png,0.19677701592445374,0.22454026341438293,0.13580363988876343,0.4428790807723999
UIEB_raw_890,117_img_.png,0.0876464992761612,0.27422958612442017,0.14982940256595612,0.4882945120334625
UIEB_raw_890,118_img_.png,0.10992950201034546,0.2521456182003021,0.14819878339767456,0.48972612619400024
UIEB_raw_890,11_img_.png,0.18692202866077423,0.2175179421901703,0.15517963469028473,0.44038039445877075
UIEB_raw_890,120_img_.png,0.11732719838619232,0.2538602352142334,0.15464851260185242,0.47416406869888306
UIEB_raw_890,121_img_.png,0.20614835619926453,0.17581182718276978,0.11805494129657745,0.49998486042022705
UIEB_raw_890,1225.png,0.10534258186817169,0.15874189138412476,0.10094423592090607,0.6349712610244751
UIEB_raw_890,12290.png,0.11245636641979218,0.11947228014469147,0.06784035265445709,0.7002310156822205
UIEB_raw_890,12299.png,0.0981554239988327,0.12786245346069336,0.07121358811855316,0.7027685642242432
UIEB_raw_890,122_img_.png,0.11696476489305496,0.24908745288848877,0.1465061455965042,0.48744165897369385
UIEB_raw_890,12324.png,0.11285035312175751,0.13849502801895142,0.08573096245527267,0.6629236936569214
UIEB_raw_890,12336.png,0.07249528169631958,0.1296212524175644,0.06118953600525856,0.7366939187049866
UIEB_raw_890,12348.png,0.11937001347541809,0.1326301097869873,0.08123326301574707,0.6667666435241699
UIEB_raw_890,123_img_.png,0.08049287647008896,0.3043304681777954,0.15292325615882874,0.4622533917427063
UIEB_raw_890,12422.png,0.16118481755256653,0.18874919414520264,0.07294890284538269,0.5771170854568481
UIEB_raw_890,12433.png,0.15178953111171722,0.20649033784866333,0.15975135564804077,0.4819687604904175
UIEB_raw_890,12445.png,0.14382115006446838,0.2361687421798706,0.13907526433467865,0.48093482851982117
UIEB_raw_890,124_img_.png,0.11644760519266129,0.23805056512355804,0.13566909730434418,0.5098327398300171
UIEB_raw_890,125_img_.png,0.0778186246752739,0.29665425419807434,0.150878444314003,0.47464868426322937
UIEB_raw_890,12900.png,0.12569759786128998,0.18664784729480743,0.10062563419342041,0.5870289206504822
UIEB_raw_890,129_img_.png,0.41037464141845703,0.25567248463630676,0.1244603767991066,0.20949247479438782
UIEB_raw_890,130_img_.png,0.11827176064252853,0.22952663898468018,0.12366466969251633,0.5285369753837585
UIEB_raw_890,131_img_.png,0.16188010573387146,0.23402927815914154,0.14002898335456848,0.4640616476535797
UIEB_raw_890,133_img_.png,0.10484112054109573,0.26889488101005554,0.14271888136863708,0.48354512453079224
UIEB_raw_890,135_img_.png,0.23616287112236023,0.2368209809064865,0.13596612215042114,0.3910500407218933
UIEB_raw_890,136_img_.png,0.15972518920898438,0.1544610559940338,0.07402148842811584,0.6117923259735107
UIEB_raw_890,137_img_.png,0.10260459035634995,0.28087282180786133,0.16020745038986206,0.45631515979766846
UIEB_raw_890,138_img_.png,0.18496054410934448,0.23016668856143951,0.1321212351322174,0.4527515172958374
UIEB_raw_890,139_img_.png,0.574840247631073,0.19784760475158691,0.07169981300830841,0.15561231970787048
UIEB_raw_890,13_img_.png,0.3086472749710083,0.2155657559633255,0.10959137976169586,0.36619555950164795
UIEB_raw_890,1407.png,0.09077058732509613,0.16433855891227722,0.10030780732631683,0.6445831060409546
UIEB_raw_890,140_img_.png,0.17959699034690857,0.2224087119102478,0.12919554114341736,0.4687987267971039
UIEB_raw_890,141_img_.png,0.14130499958992004,0.26634564995765686,0.1600317806005478,0.4323175847530365
UIEB_raw_890,142_img_.png,0.4578975439071655,0.2602676451206207,0.12161114811897278,0.16022366285324097
