branch,source_type,PSNR_mean,SSIM_mean,UIQM_mean,UCIQE_mean,num_images
blue,physical_generated,21.6129430784987,0.9167870513466496,1.2397215396165848,4.28615771143624,890
blue,real_classified,21.27548370667447,0.8755443275714249,1.2461686207755374,4.9545690393646975,479
blur,physical_generated,25.08661791475626,0.9128313819188227,1.4383380583832772,5.021350111586324,890
blur,real_classified,21.870038099378927,0.8857467940970918,1.172766028803525,4.339868136343246,289
green,physical_generated,24.641239474227536,0.939033118183341,1.3701372460702832,4.94199030158225,890
green,real_classified,22.106609182938897,0.8986285270583784,1.435360102454048,4.423623690809257,257
lowlight,physical_generated,20.815890474014857,0.9052864354366663,1.4177797486942805,4.867993832572123,890
lowlight,real_classified,19.770892916125277,0.8427541905256075,1.2485707422782635,3.7388671431048164,29
overall,overall,22.710361313119453,0.9103941845921315,1.3449630292788903,4.7436772299164245,4614
