,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.472244015861413,5.382109179920786
EUVP_eval_data,,,1.5869807329571364,5.773721711843916
EUVP_test_samples,19.074707813669203,0.780760156734401,1.497932595998338,5.727086676440193
EUVP_underwater_dark,17.609097357976232,0.8143109989093757,1.7225926512963063,3.694995625491615
EUVP_underwater_imagenet,18.443362203027046,0.7407355933317921,1.5927131342726786,5.668659619833972
EUVP_underwater_scenes,19.547804413287416,0.7923459082228033,1.511935437844056,5.971606137168762
UIEB_challenging_60,,,1.269276949763298,4.488812686999639
UIEB_raw_890,21.75501595616917,0.865344380988763,1.3687693965141015,5.056687621658693
overall,18.525570238008672,0.7915632031572981,1.5859644730460334,4.98658824575652
