,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.521161859241923,5.503093434198412
EUVP_eval_data,,,1.6376352079285001,6.098884901028235
EUVP_test_samples,18.48908873087797,0.7731153035331785,1.5583069862671268,5.808361671271833
EUVP_underwater_dark,17.738966791385558,0.8147739108308876,1.7501792903204223,3.6372713984025493
EUVP_underwater_imagenet,18.68555575543324,0.7516961776097283,1.643047198959299,5.9473253290717665
EUVP_underwater_scenes,18.934767154322714,0.782435785323582,1.5759174205891329,6.138242049839185
UIEB_challenging_60,,,1.294621836145719,4.735460005203882
UIEB_raw_890,22.160423292916214,0.8657194981638712,1.4105280803458038,5.220453198314248
overall,18.551787044126602,0.7929546719536511,1.6301939511125922,5.103306464152234
