,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4711387463274315,5.252462808241524
EUVP_eval_data,,,1.5872292223485929,5.665358347568697
EUVP_test_samples,18.89597207450106,0.779176814941203,1.5092726778058172,5.577782301763887
EUVP_underwater_dark,17.905942669647622,0.8172956557232149,1.7368422686946285,3.4730653917682064
EUVP_underwater_imagenet,18.755595332128298,0.7436446167080042,1.6135251252071277,5.9045040241447655
EUVP_underwater_scenes,19.365949834080286,0.7880909582866277,1.5248708645048077,5.8411884481901435
UIEB_challenging_60,,,1.2495406140883765,4.4294363538424175
UIEB_raw_890,22.060592813503376,0.8711932346295488,1.3518312222227102,4.821569311498392
overall,18.726918859444744,0.7933094044746697,1.5959346206453529,4.901317652575776
