dataset,image_name,attention_blue,attention_green,attention_lowlight,attention_blur
UIEB_raw_890,100_img_-checkpoint.png,0.0009690048173069954,0.5091109275817871,0.08110812306404114,0.40881192684173584
UIEB_raw_890,100_img_.png,0.0009690048173069954,0.5091109275817871,0.08110812306404114,0.40881192684173584
UIEB_raw_890,10139.png,0.0008906279690563679,0.3890236020088196,0.07320693135261536,0.5368788242340088
UIEB_raw_890,10151.png,0.01606118306517601,0.18781432509422302,0.1417521834373474,0.6543722748756409
UIEB_raw_890,101_img_.png,0.0024194049183279276,0.3039640188217163,0.12732695043087006,0.5662896633148193
UIEB_raw_890,102_img_.png,0.048779841512441635,0.34648746252059937,0.14626500010490417,0.4584676921367645
UIEB_raw_890,104_img_.png,0.0012074997648596764,0.30713823437690735,0.0815153643488884,0.6101388931274414
UIEB_raw_890,105_img_.png,0.003727683797478676,0.348621129989624,0.15985408425331116,0.4877970814704895
UIEB_raw_890,106_img_.png,0.006448945961892605,0.1820366382598877,0.19208663702011108,0.6194278001785278
UIEB_raw_890,107_img_.png,0.005300401244312525,0.4087625741958618,0.06995464861392975,0.5159823894500732
UIEB_raw_890,108_img_.png,0.0023794490844011307,0.4572885036468506,0.06895028054714203,0.4713817834854126
UIEB_raw_890,10909.png,0.0016776144038885832,0.19289562106132507,0.1284644603729248,0.6769622564315796
UIEB_raw_890,10945.png,0.0004855688603129238,0.2172575145959854,0.07504396140575409,0.7072129845619202
UIEB_raw_890,109_img_.png,0.001195521093904972,0.4329403042793274,0.0746580958366394,0.4912060499191284
UIEB_raw_890,10_img_.png,0.0005014472990296781,0.42198672890663147,0.0654066652059555,0.5121051669120789
UIEB_raw_890,11052.png,0.013156033121049404,0.1531073898077011,0.18145538866519928,0.6522811651229858
UIEB_raw_890,11064.png,0.01735907793045044,0.13731899857521057,0.14625994861125946,0.6990619897842407
UIEB_raw_890,111_img_.png,0.00016959072672761977,0.4415384829044342,0.09673075377941132,0.4615611732006073
UIEB_raw_890,112_img_.png,7.116669439710677e-05,0.4153600037097931,0.08036595582962036,0.5042028427124023
UIEB_raw_890,11374.png,0.0015963625628501177,0.3197742998600006,0.08826947212219238,0.5903598666191101
UIEB_raw_890,11398.png,0.00380799756385386,0.2387744039297104,0.11495419591665268,0.6424634456634521
UIEB_raw_890,113_img_.png,0.018436960875988007,0.3506632447242737,0.12746378779411316,0.5034360289573669
UIEB_raw_890,114_img_.png,0.011280987411737442,0.3169950544834137,0.09946726262569427,0.5722567439079285
UIEB_raw_890,115_img_.png,0.0052151866257190704,0.37336838245391846,0.07088349014520645,0.5505329370498657
UIEB_raw_890,116_img_.png,0.0030840274412184954,0.3594401478767395,0.09083017706871033,0.5466456413269043
UIEB_raw_890,117_img_.png,0.0002931170747615397,0.33628401160240173,0.13685765862464905,0.5265651941299438
UIEB_raw_890,118_img_.png,2.7293541279505007e-05,0.4446817934513092,0.10148166120052338,0.4538092613220215
UIEB_raw_890,11_img_.png,0.007651397027075291,0.32038992643356323,0.127809539437294,0.5441491603851318
UIEB_raw_890,120_img_.png,1.7822163499658927e-05,0.46941766142845154,0.09207960963249207,0.43848490715026855
UIEB_raw_890,121_img_.png,0.015176963061094284,0.27585160732269287,0.12446339428424835,0.5845080614089966
UIEB_raw_890,1225.png,0.017754673957824707,0.1650109589099884,0.18180271983146667,0.6354316473007202
UIEB_raw_890,12290.png,0.038462020456790924,0.1598469614982605,0.44879019260406494,0.35290083289146423
UIEB_raw_890,12299.png,0.03787729889154434,0.13854384422302246,0.2878822088241577,0.5356966853141785
UIEB_raw_890,122_img_.png,2.6862187951337546e-05,0.43712562322616577,0.09471375495195389,0.46813374757766724
UIEB_raw_890,12324.png,0.03727739304304123,0.1485094279050827,0.30732640624046326,0.5068867802619934
UIEB_raw_890,12336.png,0.014800985343754292,0.12283985316753387,0.1911124587059021,0.6712466478347778
UIEB_raw_890,12348.png,0.056559160351753235,0.1604340523481369,0.363006591796875,0.42000019550323486
UIEB_raw_890,123_img_.png,3.35863878717646e-05,0.4863172173500061,0.1002890020608902,0.41336023807525635
UIEB_raw_890,12422.png,0.0182740930467844,0.1982017159461975,0.11191560328006744,0.671608567237854
UIEB_raw_890,12433.png,0.01783270761370659,0.2507771849632263,0.18115545809268951,0.5502346754074097
UIEB_raw_890,12445.png,0.011803335510194302,0.21222057938575745,0.16215094923973083,0.6138250827789307
UIEB_raw_890,124_img_.png,1.239369339600671e-05,0.40952128171920776,0.08712427318096161,0.5033420324325562
UIEB_raw_890,125_img_.png,6.611199205508456e-05,0.4336559772491455,0.11415853351354599,0.4521194100379944
UIEB_raw_890,12900.png,0.013589469715952873,0.18359039723873138,0.1500268578529358,0.652793288230896
UIEB_raw_890,129_img_.png,0.003054108703508973,0.5541194081306458,0.10729523748159409,0.3355312645435333
UIEB_raw_890,130_img_.png,5.287027670419775e-05,0.3421022891998291,0.09948432445526123,0.5583605170249939
UIEB_raw_890,131_img_.png,2.051988849416375e-05,0.39693886041641235,0.08800671994686127,0.5150339007377625
UIEB_raw_890,133_img_.png,4.220535629428923e-05,0.4012550115585327,0.09227835386991501,0.5064244866371155
UIEB_raw_890,135_img_.png,2.2518535843119025e-05,0.46376344561576843,0.07391443848609924,0.4622995853424072
UIEB_raw_890,136_img_.png,0.006224214099347591,0.1870771050453186,0.14296996593475342,0.6637287139892578
UIEB_raw_890,137_img_.png,3.291081520728767e-05,0.4277796149253845,0.09485575556755066,0.4773317277431488
UIEB_raw_890,138_img_.png,1.1623073987721e-05,0.40544790029525757,0.07416221499443054,0.5203782320022583
UIEB_raw_890,139_img_.png,0.0020650497172027826,0.6155744194984436,0.04437068849802017,0.337989866733551
UIEB_raw_890,13_img_.png,0.00010081759683089331,0.39302563667297363,0.07836896181106567,0.5285046100616455
UIEB_raw_890,1407.png,0.013040064834058285,0.15000274777412415,0.17484994232654572,0.6621072292327881
UIEB_raw_890,140_img_.png,0.0056425342336297035,0.2230691909790039,0.11258850991725922,0.6586998105049133
UIEB_raw_890,141_img_.png,7.882690988481045e-05,0.410152792930603,0.10710477828979492,0.4826635718345642
UIEB_raw_890,142_img_.png,0.0019745398312807083,0.651879608631134,0.09155382215976715,0.25459206104278564
UIEB_raw_890,143_img_.png,0.0002821928064804524,0.361189603805542,0.0764756053686142,0.5620526075363159
UIEB_raw_890,144_img_.png,4.268353950465098e-05,0.4464895725250244,0.08644989132881165,0.46701788902282715
UIEB_raw_890,145_img_.png,0.0003252908354625106,0.3904736042022705,0.09483584761619568,0.5143652558326721
UIEB_raw_890,146_img_.png,0.00039008050225675106,0.6107805967330933,0.07858563214540482,0.3102436661720276
UIEB_raw_890,148_img_.png,5.266907101031393e-05,0.4419756531715393,0.09805531054735184,0.4599163830280304
UIEB_raw_890,1491.png,0.02711312472820282,0.19586460292339325,0.19100648164749146,0.5860158205032349
UIEB_raw_890,149_img_.png,0.009103577584028244,0.3841709494590759,0.07729987800121307,0.5294256210327148
UIEB_raw_890,14_img_.png,0.010707500390708447,0.28228747844696045,0.1293603777885437,0.5776446461677551
