checkpoint,epoch,PSNR,SSIM,UIQM,UCIQE,num_images
epoch_5.pth,5,20.18153727857479,0.8427791879760828,1.4862108627062165,5.248240359713522,890
epoch_10.pth,10,20.525826400742762,0.8395639119645719,1.2368491302045543,4.488571709461427,890
epoch_15.pth,15,21.034861556730252,0.8572497322073339,1.380342594693216,5.7546502927715855,890
epoch_20.pth,20,21.528451671612757,0.8582765850585737,1.3799344427130196,5.157014997085828,890
epoch_25.pth,25,21.428069206269047,0.8522709166894745,1.3430100422896696,4.604576711038526,890
epoch_30.pth,30,21.06786350477273,0.8468564522036451,1.3219650064961295,4.892892404352681,890
epoch_35.pth,35,21.682099555364157,0.8535758771578301,1.3086734183048934,4.630473285846496,890
epoch_40.pth,40,21.852317022712857,0.8566387601772241,1.4231515962756083,5.059252996792954,890
epoch_45.pth,45,21.37580468375795,0.8552387363539172,1.310735154218888,4.624765608016025,890
epoch_50.pth,50,20.83451781836627,0.84905728318195,1.3823284576448163,4.760118294297979,890
epoch_55.pth,55,21.768637683059087,0.8557187826075452,1.3940581181076135,4.827155501387092,890
epoch_60.pth,60,21.46730803246472,0.8578946454947909,1.3427894187107514,5.3992112850875,890
epoch_65.pth,65,21.49294459253202,0.857217356067137,1.4229005900661598,5.653881763072496,890
epoch_70.pth,70,21.614756332596176,0.8642317460513123,1.3791393667794345,5.422957780923737,890
epoch_75.pth,75,22.08529644309208,0.8630004256094489,1.3643880313032128,5.02419524541062,890
epoch_80.pth,80,21.841004289614624,0.8617536174003012,1.3241448088308398,4.5434189024935945,890
