,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.5106377586001725,5.25863761105887
EUVP_eval_data,,,1.6301596088316834,5.617604474188055
EUVP_test_samples,18.79339345896356,0.7767600567586037,1.5491433007045856,5.558420678481315
EUVP_underwater_dark,17.743689821636167,0.8120845305463684,1.7561410425052986,3.58660192667901
EUVP_underwater_imagenet,18.518006399425698,0.7447022109757035,1.6458207424428013,5.614533966167553
EUVP_underwater_scenes,19.247797234634678,0.7863491658276178,1.569136413147575,5.8572585937360335
UIEB_challenging_60,,,1.2936379462480545,4.386413252353668
UIEB_raw_890,21.834614284696805,0.8618280529220368,1.4035000351037872,4.87958733017525
overall,18.548437966540416,0.7903192094086516,1.628823059058099,4.8780972696512475
