branch,source_type,PSNR_mean,SSIM_mean,UIQM_mean,UCIQE_mean,num_images
blue,physical_generated,22.853383191160784,0.91983188863897,1.3330177197295627,4.845654546544793,890
blue,real_classified,21.353364378035057,0.8621078542837229,1.3249161201130621,5.760104940928099,479
blur,physical_generated,25.372321152238158,0.909815890125312,1.492611631248774,5.268895014216391,890
blur,real_classified,22.374042660925703,0.8860085736907684,1.210213840420271,4.486494242113767,289
green,physical_generated,25.543165814889708,0.937406965425318,1.3968570311082882,4.9648731502254355,890
green,real_classified,22.454177474263844,0.8990334380578866,1.4098082848096172,4.463824428009152,257
lowlight,physical_generated,22.210791509333625,0.9107624664736595,1.3763169994514979,5.09079568037826,890
lowlight,real_classified,18.910006839532272,0.8168506264207671,1.1846301370653614,3.6914763039556044,29
overall,overall,23.501381135566184,0.9096236929423311,1.379279721316756,5.041490498873698,4614
