dataset,image_name,attention_blue,attention_green,attention_lowlight,attention_blur
UIEB_raw_890,100_img_-checkpoint.png,0.26381200551986694,0.3509422838687897,0.16846764087677002,0.21677808463573456
UIEB_raw_890,100_img_.png,0.26381200551986694,0.3509422838687897,0.16846764087677002,0.21677808463573456
UIEB_raw_890,10139.png,0.20622634887695312,0.37853240966796875,0.17579716444015503,0.2394440472126007
UIEB_raw_890,10151.png,0.22334185242652893,0.19673866033554077,0.19570165872573853,0.38421785831451416
UIEB_raw_890,101_img_.png,0.17451030015945435,0.315452516078949,0.19122231006622314,0.31881484389305115
UIEB_raw_890,102_img_.png,0.2485746294260025,0.20246776938438416,0.20190858840942383,0.3470489978790283
UIEB_raw_890,104_img_.png,0.23179203271865845,0.34096759557724,0.17390994727611542,0.25333040952682495
UIEB_raw_890,105_img_.png,0.23380039632320404,0.1731945425271988,0.22287461161613464,0.3701304793357849
UIEB_raw_890,106_img_.png,0.20627355575561523,0.15549512207508087,0.18464502692222595,0.45358628034591675
UIEB_raw_890,107_img_.png,0.25046125054359436,0.37430065870285034,0.15460199117660522,0.22063611447811127
UIEB_raw_890,108_img_.png,0.15232440829277039,0.4934418201446533,0.1507844477891922,0.2034492939710617
UIEB_raw_890,10909.png,0.1820768415927887,0.24463562667369843,0.19106623530387878,0.3822212815284729
UIEB_raw_890,10945.png,0.20043563842773438,0.3206215500831604,0.18145465850830078,0.29748815298080444
UIEB_raw_890,109_img_.png,0.2521239221096039,0.2535567283630371,0.20651662349700928,0.28780269622802734
UIEB_raw_890,10_img_.png,0.243013396859169,0.4001803398132324,0.15080991387367249,0.20599636435508728
UIEB_raw_890,11052.png,0.19259491562843323,0.19062964618206024,0.18630068004131317,0.43047475814819336
UIEB_raw_890,11064.png,0.20892804861068726,0.2227574586868286,0.18172983825206757,0.38658463954925537
UIEB_raw_890,111_img_.png,0.23731455206871033,0.37319886684417725,0.1577221155166626,0.23176443576812744
UIEB_raw_890,112_img_.png,0.15966291725635529,0.43282055854797363,0.16746777296066284,0.24004876613616943
UIEB_raw_890,11374.png,0.18965688347816467,0.33854591846466064,0.1824129968881607,0.2893841862678528
UIEB_raw_890,11398.png,0.20783454179763794,0.30795806646347046,0.18491941690444946,0.29928797483444214
UIEB_raw_890,113_img_.png,0.2608731985092163,0.25071123242378235,0.18501780927181244,0.3033977746963501
UIEB_raw_890,114_img_.png,0.20517930388450623,0.3558450937271118,0.1698867529630661,0.2690888047218323
UIEB_raw_890,115_img_.png,0.24678727984428406,0.37100446224212646,0.1517500877380371,0.2304581254720688
UIEB_raw_890,116_img_.png,0.2157639116048813,0.33089306950569153,0.18428444862365723,0.26905858516693115
UIEB_raw_890,117_img_.png,0.16156867146492004,0.3083023428916931,0.1859261691570282,0.34420284628868103
UIEB_raw_890,118_img_.png,0.14859342575073242,0.39792194962501526,0.1716715395450592,0.2818131148815155
UIEB_raw_890,11_img_.png,0.24086156487464905,0.25093838572502136,0.19307160377502441,0.3151284456253052
UIEB_raw_890,120_img_.png,0.15187014639377594,0.41648706793785095,0.16782595217227936,0.26381683349609375
