,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4781107989562654,5.183238032827512
EUVP_eval_data,,,1.6005259968702075,5.60142893490282
EUVP_test_samples,17.912633539426174,0.7553000398745161,1.5120674087005912,5.432201483643171
EUVP_underwater_dark,17.220693375157655,0.7954630978534134,1.6643157377006772,3.7480839804915695
EUVP_underwater_imagenet,17.872366449046044,0.7315047358832932,1.584257107006537,5.657936600865544
EUVP_underwater_scenes,18.34702639956367,0.7626187914743555,1.5255559022693939,5.6086216000179405
UIEB_challenging_60,,,1.283826365073522,4.420269413789113
UIEB_raw_890,20.993550952576427,0.8457648165349948,1.3877643811716107,4.751205786845232
overall,17.88941771006538,0.7733193132770728,1.570388219833207,4.882641438732183
