,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.5006565832124672,5.6004424472680885
EUVP_eval_data,,,1.6186959491192716,5.97598735441282
EUVP_test_samples,18.916244044283065,0.7781847907248571,1.5352705857128772,5.936049494465578
EUVP_underwater_dark,17.842654513947608,0.8152079896045636,1.740446809712831,3.628246767306113
EUVP_underwater_imagenet,18.50228899559186,0.7460137377490121,1.634799083197439,5.871893302234444
EUVP_underwater_scenes,19.36695157718635,0.7872757587050695,1.5566675387749138,6.2889978747073245
UIEB_challenging_60,,,1.2548148930072784,4.596542874972026
UIEB_raw_890,21.75533322805171,0.8615624265506592,1.3835080482743003,5.284831806866809
overall,18.60639433707345,0.7922436473209219,1.615608955823045,5.120831194774611
