dataset,image_name,attention_blue,attention_lowlight,attention_blur
UIEB_raw_890,100_img_-checkpoint.png,0.31054335832595825,0.1954023838043213,0.49405425786972046
UIEB_raw_890,10_img_-checkpoint.png,0.38280969858169556,0.20940111577510834,0.4077892005443573
UIEB_raw_890,100_img_.png,0.31054335832595825,0.1954023838043213,0.49405425786972046
UIEB_raw_890,10139.png,0.24212971329689026,0.1724536418914795,0.5854166150093079
UIEB_raw_890,10151.png,0.08000252395868301,0.20264136791229248,0.7173560857772827
UIEB_raw_890,101_img_.png,0.10277220606803894,0.19183355569839478,0.7053942680358887
UIEB_raw_890,102_img_.png,0.1899990737438202,0.23718363046646118,0.572817325592041
UIEB_raw_890,104_img_.png,0.24914628267288208,0.19450128078460693,0.556352436542511
UIEB_raw_890,105_img_.png,0.13517387211322784,0.27422836422920227,0.5905977487564087
UIEB_raw_890,106_img_.png,0.06572945415973663,0.24831542372703552,0.6859551072120667
UIEB_raw_890,107_img_.png,0.3239368796348572,0.1890447437763214,0.4870183765888214
UIEB_raw_890,108_img_.png,0.2197684645652771,0.09506301581859589,0.6851685047149658
UIEB_raw_890,10909.png,0.08517453074455261,0.19892221689224243,0.7159032821655273
UIEB_raw_890,10945.png,0.11683307588100433,0.2166179120540619,0.666549026966095
UIEB_raw_890,109_img_.png,0.3179049491882324,0.2355903834104538,0.4465046525001526
UIEB_raw_890,10_img_.png,0.38280969858169556,0.20940111577510834,0.4077892005443573
UIEB_raw_890,11052.png,0.04493776708841324,0.2012995183467865,0.7537627220153809
UIEB_raw_890,11064.png,0.0446426123380661,0.1985492706298828,0.7568081021308899
UIEB_raw_890,111_img_.png,0.36825257539749146,0.2333470582962036,0.39840036630630493
UIEB_raw_890,112_img_.png,0.17841903865337372,0.19607514142990112,0.625505805015564
UIEB_raw_890,11374.png,0.19203698635101318,0.2088809609413147,0.5990820527076721
UIEB_raw_890,11398.png,0.13342410326004028,0.19369323551654816,0.6728826761245728
UIEB_raw_890,113_img_.png,0.17141267657279968,0.20977598428726196,0.618811309337616
UIEB_raw_890,114_img_.png,0.17788107693195343,0.18119531869888306,0.6409236192703247
UIEB_raw_890,115_img_.png,0.3902333974838257,0.18400654196739197,0.42576006054878235
UIEB_raw_890,116_img_.png,0.2273305058479309,0.2047356367111206,0.5679338574409485
UIEB_raw_890,117_img_.png,0.10013273358345032,0.21002450585365295,0.6898427605628967
UIEB_raw_890,118_img_.png,0.15446288883686066,0.19447967410087585,0.6510574221611023
UIEB_raw_890,11_img_.png,0.15767741203308105,0.27478715777397156,0.567535400390625
UIEB_raw_890,120_img_.png,0.18565410375595093,0.1903163641691208,0.6240295171737671
UIEB_raw_890,121_img_.png,0.21108397841453552,0.21187613904476166,0.5770398378372192
UIEB_raw_890,1225.png,0.0678311213850975,0.23899723589420319,0.6931716203689575
UIEB_raw_890,12290.png,0.06251649558544159,0.2517563998699188,0.6857271194458008
UIEB_raw_890,12299.png,0.06086616590619087,0.17593535780906677,0.7631984949111938
UIEB_raw_890,122_img_.png,0.1669245958328247,0.19073718786239624,0.6423381567001343
UIEB_raw_890,12324.png,0.06988957524299622,0.21844714879989624,0.7116632461547852
UIEB_raw_890,12336.png,0.038346584886312485,0.15302082896232605,0.8086326122283936
UIEB_raw_890,12348.png,0.07259143143892288,0.224456787109375,0.7029517889022827
UIEB_raw_890,123_img_.png,0.12856152653694153,0.2015620470046997,0.6698764562606812
UIEB_raw_890,12422.png,0.10095818340778351,0.15034480392932892,0.74869704246521
UIEB_raw_890,12433.png,0.15541842579841614,0.22156643867492676,0.6230151057243347
UIEB_raw_890,12445.png,0.132524311542511,0.1781081259250641,0.6893675327301025
UIEB_raw_890,124_img_.png,0.1666957437992096,0.18436595797538757,0.6489382982254028
UIEB_raw_890,125_img_.png,0.1139882430434227,0.20244500041007996,0.683566689491272
UIEB_raw_890,12900.png,0.09758014231920242,0.16413356363773346,0.7382863163948059
UIEB_raw_890,129_img_.png,0.3051331639289856,0.265264093875885,0.429602712392807
UIEB_raw_890,130_img_.png,0.12936817109584808,0.1897796094417572,0.6808522343635559
UIEB_raw_890,131_img_.png,0.23861077427864075,0.16959595680236816,0.5917932987213135
UIEB_raw_890,133_img_.png,0.14800404012203217,0.17781256139278412,0.6741834282875061
UIEB_raw_890,135_img_.png,0.30766645073890686,0.17877927422523499,0.5135543346405029
UIEB_raw_890,136_img_.png,0.11496053636074066,0.17961964011192322,0.7054198980331421
UIEB_raw_890,137_img_.png,0.16303494572639465,0.19215452671051025,0.6448105573654175
UIEB_raw_890,138_img_.png,0.2832905650138855,0.15924587845802307,0.557463526725769
UIEB_raw_890,139_img_.png,0.42793387174606323,0.17846345901489258,0.3936026692390442
UIEB_raw_890,13_img_.png,0.29145732522010803,0.21820244193077087,0.4903402328491211
UIEB_raw_890,1407.png,0.05960886552929878,0.21118764579296112,0.729203462600708
UIEB_raw_890,140_img_.png,0.15865302085876465,0.1781168133020401,0.6632301807403564
