epoch,step,loss_g,loss_d,loss_cycle,loss_identity,loss_ssim,attention_blue,attention_green,attention_lowlight,attention_blur
1,1,10.467548370361328,1.4313441514968872,0.527947187423706,0.22168222069740295,1.7059130668640137,0.31738126277923584,0.3626055121421814,0.3200131952762604,
1,2,10.85793685913086,4.121797561645508,0.6547876596450806,0.23232358694076538,1.6700752973556519,0.31589534878730774,0.354410320520401,0.32969439029693604,
1,3,8.762150764465332,2.536104917526245,0.4819241762161255,0.21034282445907593,1.5055105686187744,0.3160187005996704,0.3573448956012726,0.3266364336013794,
1,4,11.333540916442871,4.072596549987793,0.4325296878814697,0.22169005870819092,1.4762448072433472,0.31474044919013977,0.35449516773223877,0.3307643532752991,
1,5,8.368035316467285,1.0089091062545776,0.4758824408054352,0.22220884263515472,1.5857563018798828,0.3145267069339752,0.3492479920387268,0.336225301027298,
1,6,8.138498306274414,0.9222484827041626,0.4424246549606323,0.23023967444896698,1.3586196899414062,0.314968079328537,0.34943363070487976,0.33559828996658325,
1,7,7.768270969390869,0.7043734788894653,0.41366487741470337,0.25535544753074646,1.4406026601791382,0.3140886127948761,0.34457093477249146,0.34134045243263245,
1,8,6.342422008514404,0.7032798528671265,0.35030603408813477,0.1446635127067566,1.2501600980758667,0.3115238547325134,0.3521464169025421,0.33632969856262207,
1,9,6.254623889923096,0.5402228832244873,0.3394694924354553,0.17073455452919006,1.265566349029541,0.31031322479248047,0.3517279624938965,0.33795881271362305,
1,10,5.560015678405762,0.5840106010437012,0.2834312915802002,0.19817666709423065,1.0496104955673218,0.30785080790519714,0.35338324308395386,0.3387659788131714,
1,11,6.807723045349121,0.5139752626419067,0.373087614774704,0.2508974075317383,1.1490497589111328,0.30736225843429565,0.3607143759727478,0.33192336559295654,
1,12,6.247189998626709,0.5139063596725464,0.31624552607536316,0.24040763080120087,1.1800384521484375,0.31009024381637573,0.3573521375656128,0.3325576186180115,
1,13,7.256204605102539,0.5511488914489746,0.4327823221683502,0.19014573097229004,1.238684892654419,0.3116747736930847,0.35383182764053345,0.33449339866638184,
1,14,6.313519477844238,0.710597813129425,0.3358825445175171,0.16497504711151123,1.1122640371322632,0.3136928975582123,0.34945958852767944,0.3368475139141083,
1,15,5.217591762542725,0.646023154258728,0.24822749197483063,0.1675420105457306,0.9725250601768494,0.31198686361312866,0.34483790397644043,0.3431752324104309,
1,16,5.897679328918457,0.5305451154708862,0.30715301632881165,0.2155504822731018,1.0651170015335083,0.31050771474838257,0.34602901339530945,0.3434632420539856,
