,PSNR,SSIM,UIQM,UCIQE
EUVP_Unpaired,,,1.4652318768214883,5.183757000668744
EUVP_eval_data,,,1.5636156388856832,5.481124963806671
EUVP_test_samples,18.961329620286502,0.7818195397030893,1.4945823586102829,5.401168242704521
EUVP_underwater_dark,18.15737634268016,0.8228703794172111,1.707435126267038,3.442739149321307
EUVP_underwater_imagenet,18.807327880662207,0.7515097278712842,1.584134033837834,5.579555036280606
EUVP_underwater_scenes,19.536467896663527,0.7935394739475405,1.5169345767056097,5.699047562950536
UIEB_challenging_60,,,1.2229451308647792,4.535148739814758
UIEB_raw_890,21.59996644037664,0.8615657226941962,1.3433575278707683,4.872871664874757
overall,18.850217219697637,0.7983513166362597,1.5755392855660755,4.777019713621557
